asin,prodName,numStars,numView,price
B01J94S8KQ,"Fire HD 8 Kids Edition-Tablet, 20,3 cm (8 Zoll) HD Display, 32 GB, blaue kindgerechte Hülle","4,2",624,"EUR 119,99"
B07215Q3Y1,"Samsung Galaxy J3 Smartphone (12,67 cm (5 Zoll) Display, 16 GB Speicher, Android 7.0) schwarz","3,8",185,"EUR 137,00"
B0725WZK1N,"Samsung Galaxy J5 DUOS Smartphone (13,18 cm (5,2 Zoll) Touch-Display, 16 GB Speicher, Android 7.0) schwarz","4,2",194,"EUR 159,50"
B01JZ5W9Y0,Prepaid Sim-Karte USA - 4GB 4G LTE - Unbegrenzte internationale Anrufe und Sms - 30 Tage,"3,6",435,"EUR 18,99"
B01N12NZXB,"SATELLITEN SAT RECEIVER ✨ HB DIGITAL DVB-S/S2 SET: Hochwertiger DVB-S/S2 Receiver + HDMI Kabel mit Ethernet Funktion und vergoldeten Anschlüssen (HD Ready, HDTV, HDMI, SCART, USB 2.0, Koaxial Ausgang, Opticum AX150 )","4,4",97,"EUR 29,90"
B01LF0T51I,"Samsung SM-R760NDAADBT Gear S3 frontier Smartwatch (3,3 cm (1,3 Zoll) Display, NFC, Bluetooth, WLAN, Tizen OS, mit Silikon-Armband)","4,0",699,"EUR 258,00"
B078Y53S2F,"Handyhalterung Fahrrad Techole Anti-Shake Verstellbar Motorrad Handyhalter Universal 360° Drehbare Halterung mit Seitlich Kippen für iPhone X 8/8 Plus 7 6S/6S Plus Samsung S9/S9 Plus/ S8/S8 Plus /S7/S6/A5 & alle 3,5-6,3 Zoll Smartphone GPS Geräte","4,8",72,"EUR 11,99"
B074X5WPC5,GoPro HERO6 Black Kamera,"3,3",112,"EUR 399,00"
B01MU5VUXK,"Samsung Galaxy A5 (2017) Smartphone (5,2 Zoll (13,22 cm) Touch-Display, 32 GB Speicher, Android 6.0) gold (European SIM card only)","4,1",845,"EUR 209,00"
B07CHL6XN6,"OnePlus 6 Smartphone (15,95 cm (6,28 Zoll) 19:9 Touch-Display, 128 GB interner Speicher, Android 8.1 Oreo/Oxygen OS 5.1), Midnight Black","4,4",85,"EUR 569,00"
